language,year,town,lat,lon
PL/M,1972,Pacific_Grove,36.61,-121.91
Turbo Pascal,1983,Austin,30.26,-97.74
PARADOX,1985,Austin,30.26,-97.74
Borland Pascal,1992,Austin,30.26,-97.74
Delphi,1995,Austin,30.26,-97.74
Turbo Pascal OOP,1989,Austin,30.26,-97.74
LabVIEW,1986,Austin,30.26,-97.74
VisSim,1989,Westford,42.57,-71.43
Polymorphic Programming Language,1969,Cambridge_MA,42.37,-71.10
P,2012,Cambridge_MA,42.37,-71.10
Lisp Machine Lisp,1978,Cambridge_MA,42.37,-71.10
Flavors,198x,Cambridge_MA,42.37,-71.10
NIL,197x,Cambridge_MA,42.37,-71.10
COMIT,1961,Cambridge_MA,42.37,-71.10
Scheme,1975,Cambridge_MA,42.37,-71.10
Julia,2012,Cambridge_MA,42.37,-71.10
Curl,1996,Cambridge_MA,42.37,-71.10
COMIT concept,1957,Cambridge_MA,42.37,-71.10
HAL/S,1978,Cambridge_MA,42.37,-71.10
CS-4,1975,Cambridge_MA,42.37,-71.10
Ada 95,1995,Cambridge_MA,42.37,-71.10
Red-Intermetrics,1977,Cambridge_MA,42.37,-71.10
BBN LISP,1966,Cambridge_MA,42.37,-71.10
TELCOMP,1965,Cambridge_MA,42.37,-71.10
VisiCalc,1978,Boston,42.36,-71.05
ColdFusion,1995,Newton,42.33,-71.20
DIBOL-8,1968,Maynard,42.43,-71.44
Modula-3,1989,Maynard,42.43,-71.44
UnrealScript,1998,Cary,35.79,-78.78
Ceylon,2011,Raleigh,35.77,-78.63
Plus,1976,Vancouver,49.28,-123.12
Turing,1982,Toronto,43.65,-79.38
Sue,1971,Toronto,43.65,-79.38
Euclid,1977,Toronto,43.65,-79.38
Blue,1997,Sydney,-33.86,151.209
Mercury,1995,Melbourne,-37.81,144.96
PHP,1995,Melbourne,-37.81,144.96
SMALL,1978,Auckland,-36.84,174.76
Wyvern,2014,Wellington,-41.28,174.77
Birkbeck Assembler,1950,Bloomsbury,51.52,-0.12
ARC Assembly,1947,Bloomsbury,51.52,-0.12
Autocode,1952,Manchester,53.48,-2.24
CPL,1963,Oxford,51.75,-1.25
Autocode,1952,Cheltenham,51.89,-2.07
ENIAC Coding System,1943,Cheltenham,51.89,-2.07
Regional Assembly Language,1951,Cambridge,52.20,0.11
CPL,1963,Cambridge,52.20,0.11
Atlas Autocode,1965,Cambridge,52.20,0.11
Mark I Autocode,1954,Cambridge,52.20,0.11
Robik,1975,Novosibirsk,55.00,82.93
Scala,2003,Ecublens,46.52,6.56
P'',1964,Zurich,47.37,8.54
Boehm unnamed coding system,1951,Zurich,47.37,8.54
Superplan,1951,Zurich,47.37,8.54
PlankalkГјl,1943,Gottingen,51.54,9.91
Klammerausdrucke,1951,Gottingen,51.54,9.91
Stanislaus,1951,Munich,48.13,11.58
Sequentielle Formelubersetzung,1955,Munich,48.13,11.58
COMTRAN,1957,Les_Clayes-sous-Bois,48.82,1.97
F#,2005,Redmond,47.67,-122.12
Turbo Pascal,1983,Redmond,47.67,-122.12
Delphi,1995,Redmond,47.67,-122.12
Turbo Pascal OOP,1989,Redmond,47.67,-122.12
COMTRAN,1957,Armonk,41.12,-73.71
FORTRAN-II,1958,New_York,40.71,-74.00
Speedcoding,1953,New_York,40.71,-74.00
Fortran concept,1954,New_York,40.71,-74.00
FORTRAN-I,1957,New_York,40.71,-74.00
FP,1977,New_York,40.71,-74.00
ALGOL 58,1958,New_York,40.71,-74.00
Sort Merge Generator,1951,New_York,40.71,-74.00
COMTRAN,1957,Lake_Success,40.77,-73.71
Python,1991,San_Francisco,37.77,-122.41
IPL-I concept,1954,Santa-Monica,34.01,-118.49
COMTRAN,1957,Santa-Monica,34.01,-118.49
Arc,2001,Mountain_View,37.38,-122.08
Python,1991,Menlo_Park,37.45,-122.18
TypeScript,2012,Austin,30.26,-97.74
C#,2000,Austin,30.26,-97.74
CPC Coding scheme,1948,Cambridge_MA,42.37,-71.10
Curry notation system,1948,Cambridge_MA,42.37,-71.10
APT,1959,Cambridge_MA,42.37,-71.10
Rochester Assembler,1951,Cambridge_MA,42.37,-71.10
LISP concept,1956,Cambridge_MA,42.37,-71.10
LISP,1959,Cambridge_MA,42.37,-71.10
COMTRAN,1957,Boston,42.36,-71.05
A-0,1952,Washington,38.90,-77.03
ARITH-MATIC,1954,Washington,38.90,-77.03
FLOW-MATIC,1955,Washington,38.90,-77.03
GEORGE,1957,Sydney,-33.86,151.209
